churn,year,month,total_revenue,unique_customer_count,avg_order_value,year_month
0.0,2016,10,596.97,6,99.495,2016-10
0.0,2017,1,6204.24,26,238.62461538461537,2017-01
0.0,2017,2,3645.7200000000003,23,158.50956521739133,2017-02
0.0,2017,3,9041.9,45,200.9311111111111,2017-03
0.0,2017,4,7237.2,40,180.93,2017-04
0.0,2017,5,16477.81,83,198.5278313253012,2017-05
0.0,2017,6,17207.54,78,220.6094871794872,2017-06
0.0,2017,7,20520.83,91,225.5036263736264,2017-07
0.0,2017,8,24978.66,113,221.0500884955752,2017-08
0.0,2017,9,20476.84,108,189.60037037037037,2017-09
0.0,2017,10,32877.99,107,307.27093457943926,2017-10
0.0,2017,11,35841.01,158,226.84183544303798,2017-11
0.0,2017,12,926323.35,4978,186.0834371233427,2017-12
0.0,2018,1,1408365.65,7120,197.8041643258427,2018-01
0.0,2018,2,1306048.8,6537,199.79329967875174,2018-02
0.0,2018,3,1475599.95,7096,207.94813275084553,2018-03
0.0,2018,4,1496811.52,6878,217.6230764757197,2018-04
0.0,2018,5,1506974.84,6795,221.77701839587934,2018-05
0.0,2018,6,1297594.81,6121,211.99065675543213,2018-06
0.0,2018,7,1351705.34,6211,217.63087103526004,2018-07
0.0,2018,8,1229643.72,6411,191.8021712681329,2018-08
0.0,2018,9,166.46,1,166.46,2018-09
1.0,2016,9,347.52,2,173.76,2016-09
1.0,2016,10,73317.61,299,245.20939799331103,2016-10
1.0,2016,12,19.62,1,19.62,2016-12
1.0,2017,1,181575.17,729,249.07430727023322,2017-01
1.0,2017,2,340489.07,1685,202.0706646884273,2017-02
1.0,2017,3,517919.76,2556,202.62901408450705,2017-03
1.0,2017,4,498428.33,2319,214.93244070720138,2017-04
1.0,2017,5,708026.74,3505,202.0047760342368,2017-05
1.0,2017,6,583545.73,3076,189.70927503250974,2017-06
1.0,2017,7,716772.25,3803,188.47547988430188,2017-07
1.0,2017,8,845127.24,4098,206.22919472913617,2017-08
1.0,2017,9,995372.73,4062,245.04498522895125,2017-09
1.0,2017,10,988291.28,4394,224.9183614019117,2017-10
1.0,2017,11,1548028.0,7184,215.48273942093542,2017-11
1.0,2017,12,116532.51,579,201.26512953367876,2017-12
