churn,year,month,order_count,year_month
1.0,2016,9,2,2016-09
0.0,2016,10,6,2016-10
1.0,2016,10,302,2016-10
1.0,2016,12,1,2016-12
0.0,2017,1,41,2017-01
1.0,2017,1,748,2017-01
0.0,2017,2,28,2017-02
1.0,2017,2,1705,2017-02
0.0,2017,3,49,2017-03
1.0,2017,3,2592,2017-03
0.0,2017,4,48,2017-04
1.0,2017,4,2343,2017-04
0.0,2017,5,94,2017-05
1.0,2017,5,3566,2017-05
0.0,2017,6,86,2017-06
1.0,2017,6,3131,2017-06
0.0,2017,7,104,2017-07
1.0,2017,7,3865,2017-07
0.0,2017,8,134,2017-08
1.0,2017,8,4159,2017-08
0.0,2017,9,118,2017-09
1.0,2017,9,4125,2017-09
0.0,2017,10,119,2017-10
1.0,2017,10,4449,2017-10
0.0,2017,11,175,2017-11
1.0,2017,11,7276,2017-11
0.0,2017,12,5040,2017-12
1.0,2017,12,584,2017-12
0.0,2018,1,7220,2018-01
0.0,2018,2,6694,2018-02
0.0,2018,3,7188,2018-03
0.0,2018,4,6934,2018-04
0.0,2018,5,6853,2018-05
0.0,2018,6,6160,2018-06
0.0,2018,7,6273,2018-07
0.0,2018,8,6452,2018-08
0.0,2018,9,1,2018-09
